wkr,party,partei,name,source
32,linke,LINKE,Ralf Marquardt,https://kampagne26.die-linke-mv.de/direktkandidierende/
32,spd,SPD,Christine Klingohr,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
33,afd,AfD,Tommy Thormann,https://afd-mv.de/blaue-wende-2026/#Kandidaten
33,bsw,BSW,Thomas Vetter,https://mv.bsw-vg.de/unsere-direktkandidaten/
33,cdu,CDU/CSU,Holger Kliewe,https://cdu-mv.de/landtagskandidaten2026cdumv/
33,fdp,FDP,Uwe Ahlers,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
33,gruene,GRÜNE,Stefan Trzeczak,https://gruene-mv.de/landtagswahl-2026-02/unsere-direktkandidatinnen-fuer-die-landtagswahl-2026/
33,linke,LINKE,Frans Hübner,https://kampagne26.die-linke-mv.de/direktkandidierende/
33,spd,SPD,Heiko Miraß,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
34,afd,AfD,Thomas Naulin,https://afd-mv.de/blaue-wende-2026/#Kandidaten
34,bsw,BSW,Karel Bösel,https://mv.bsw-vg.de/unsere-direktkandidaten/
34,cdu,CDU/CSU,Birgit Mietzner,https://cdu-mv.de/landtagskandidaten2026cdumv/
34,fdp,FDP,Manfred Steckelbach,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
34,linke,LINKE,Martyna Ewa Dabrowska,https://kampagne26.die-linke-mv.de/direktkandidierende/
34,spd,SPD,Dr. Sylva Rahm-Präger,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
35,afd,AfD,Inken Arndt,https://afd-mv.de/blaue-wende-2026/#Kandidaten
35,bsw,BSW,Holger Läufer,https://mv.bsw-vg.de/unsere-direktkandidaten/
35,cdu,CDU/CSU,Ivo Sieder,https://cdu-mv.de/landtagskandidaten2026cdumv/
35,fdp,FDP,Detlef Pohl,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
35,linke,LINKE,Steffi Griffel,https://kampagne26.die-linke-mv.de/direktkandidierende/
35,spd,SPD,Patrick Dahlemann,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
36,afd,AfD,Nikolaus Kramer,https://afd-mv.de/blaue-wende-2026/#Kandidaten
36,bsw,BSW,Jörg Buchwald,https://mv.bsw-vg.de/unsere-direktkandidaten/
36,cdu,CDU/CSU,Dietrich Wenzel,https://cdu-mv.de/landtagskandidaten2026cdumv/
36,fdp,FDP,Stella Kaesler,https://www.fdp-mv.de/sites/default/files/2026-07/%C3%9Cbersicht%20Direktkandidierende_0.png
36,linke,LINKE,Leon Suchanek,https://kampagne26.die-linke-mv.de/direktkandidierende/
36,spd,SPD,Bettina Martin,https://spd-mv.de/wahlen/landtagswahl-2026/kandidaten-landtagswahl-2026
