adresse,bezirk,art,wkr,gueltig,wber,truth_spd,base_spd,truth_cdu,base_cdu,truth_gruene,base_gruene,truth_linke,base_linke,truth_afd,base_afd,truth_fdp,base_fdp,truth_others,base_others
04B6D,04,B,28,536.0,0.0,19.403,22.687,31.903,21.493,23.881,20.896,7.649,8.06,4.104,7.761,6.343,13.433,6.716,5.672
04B6E,04,B,28,357.0,0.0,19.608,22.654,33.894,20.712,21.569,21.359,5.322,8.091,3.922,7.767,9.524,12.945,6.162,6.472
04B6F,04,B,28,358.0,0.0,25.419,21.986,29.609,20.922,20.112,21.277,8.101,7.447,2.793,8.511,9.497,13.121,4.469,6.738
04B6G,04,B,28,407.0,0.0,21.376,22.591,31.45,20.93,28.256,22.924,7.125,7.973,2.457,7.641,5.16,12.625,4.177,5.316
04B6H,04,B,28,357.0,0.0,19.328,22.022,34.454,21.3,27.171,21.661,6.162,7.942,1.961,8.303,7.283,12.996,3.641,5.776
04B6I,04,B,28,427.0,0.0,18.735,22.054,33.255,21.752,22.014,21.752,5.152,7.855,6.323,8.459,7.26,12.689,7.26,5.438
04B6J,04,B,28,541.0,0.0,23.845,22.118,26.248,21.495,27.542,21.807,6.654,7.788,2.403,8.411,7.579,12.773,5.73,5.607
04B6K,04,B,28,414.0,0.0,22.705,22.34,32.126,21.277,23.671,21.631,5.556,7.447,3.865,8.865,6.763,12.411,5.314,6.028
04B6L,04,B,28,382.0,0.0,22.251,22.3,32.461,21.951,17.801,21.254,6.806,8.014,4.974,8.362,9.948,12.892,5.759,5.226
04B6M,04,B,28,392.0,0.0,23.724,22.968,26.531,20.848,29.592,22.968,6.122,8.127,2.806,7.774,4.337,12.367,6.888,4.947
04B6N,04,B,28,398.0,0.0,19.095,23.03,29.397,20.606,32.161,23.333,7.286,8.182,2.01,7.576,5.025,12.424,5.025,4.848
04B6P,04,B,28,397.0,0.0,23.929,22.344,20.151,21.245,32.242,21.612,6.801,7.692,2.771,8.791,6.045,12.821,8.06,5.495
04B6Q,04,B,28,335.0,0.0,19.701,22.642,23.582,21.509,32.836,21.887,8.06,7.925,3.881,8.679,5.075,12.83,6.866,4.528
04B6R,04,B,28,480.0,0.0,23.125,22.258,31.667,21.935,21.042,21.29,6.25,8.065,2.708,8.387,6.875,12.903,8.333,5.161
04B6S,04,B,28,363.0,0.0,17.355,22.727,27.273,21.591,28.65,21.97,8.54,7.576,3.306,9.091,4.683,12.5,10.193,4.545
04B6T,04,B,28,471.0,0.0,19.745,22.712,27.601,21.356,28.45,22.034,7.006,7.797,3.609,9.153,8.493,12.542,5.096,4.407
04B6U,04,B,28,396.0,0.0,26.515,22.476,28.535,21.824,23.737,20.847,6.566,8.143,3.283,8.469,4.545,13.029,6.818,5.212
04B6V,04,B,28,393.0,0.0,22.137,22.968,23.664,20.848,31.552,22.968,5.598,8.481,1.781,7.774,5.852,12.014,9.415,4.947
04B6W,04,B,28,337.0,0.0,21.662,22.648,19.288,20.906,33.531,22.997,8.309,8.362,1.78,8.014,6.825,12.195,8.605,4.878
04B6X,04,B,28,312.0,0.0,21.795,22.826,22.436,21.014,26.603,22.826,9.936,8.333,3.205,7.971,7.372,11.957,8.654,5.072
04B6Y,04,B,28,268.0,0.0,28.358,22.553,30.597,21.702,20.149,21.702,5.597,7.66,5.97,8.511,3.731,12.766,5.597,5.106
04B7A,04,B,29,425.0,0.0,22.588,21.824,31.529,22.801,19.059,17.59,8.941,8.469,5.176,10.098,5.176,11.075,7.529,8.143
04B7B,04,B,29,307.0,0.0,22.801,19.805,35.179,24.351,16.612,16.883,4.56,7.792,5.863,11.039,5.537,11.688,9.446,8.442
04B7C,04,B,29,332.0,0.0,17.47,21.622,22.289,22.635,30.12,17.568,12.048,8.446,3.614,10.135,7.53,11.149,6.928,8.446
